Particle ID,Area (µm²),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
1,7.948389327812496e-10,0.001149282612782413,0.002008527873891909,0.000683178514949119,2.9399751747777048
2,2.7176610667187486e-10,0.0008036474236961994,0.0015625292970553818,0.0005288075293770585,2.9548166587114593
3,6.702887326874997e-10,0.001085811488112062,0.0015628262006512704,0.0008992619127576548,1.7378988017614863
4,1.863547180843749e-09,0.0015267945115360908,0.00244821629429412,0.0012161885652279725,2.013023608584254
5,1.3537607198124994e-09,0.001372506559687937,0.002076299511214351,0.0008112706538173909,2.559317906353982
6,8.908784195937496e-10,0.0011938229921808104,0.0015215607415313137,0.0010336280325201877,1.4720583165894316
7,1.4123126561249993e-09,0.0013920155162706334,0.0025455456804923246,0.0010689405163166004,2.3813726223643124
8,3.878064489421874e-09,0.0019492706101757655,0.0033346589868455197,0.0018359295950788953,1.8163327154722508
9,1.1766427274531245e-09,0.001309831199415798,0.001842155340709904,0.0009707276080379499,1.8977057265665882
10,2.437231181640624e-09,0.0016696779089094046,0.002870965436902673,0.0009036917528631627,3.1769299961038766
11,1.3009432258749994e-09,0.0013544196333490556,0.002693243522919781,0.0007153382630363895,3.7649929579997523
12,1.8566946712812493e-09,0.0015249208045533254,0.0027273406572663234,0.0010698362970547298,2.5493065292089265
13,1.6095148620624993e-09,0.001454003514671778,0.0019840187487641762,0.0009957995604722343,1.992387652614852
14,1.3146892407968744e-09,0.0013591732820913847,0.0018721776912043909,0.0011546102918090662,1.6214801690975973
15,1.7099458683281243e-09,0.0014836378805222524,0.0024184102725281925,0.001117352743637929,2.1644107344778334
16,1.8098364754531243e-09,0.001511982988205442,0.0023281731333711147,0.0011533600517213533,2.0186004620988824
17,1.9061033025937494e-09,0.001538329153130707,0.002328270335763467,0.0013449655659163904,1.7311003305702501
18,1.6758870572031243e-09,0.0014737213487392186,0.0023915387272510935,0.0012613327458806838,1.896041100226317
19,1.5271605176249994e-09,0.0014287690097914566,0.0025908573389455828,0.0010768891065573946,2.405871991061411
20,1.3618952797499994e-09,0.0013752501387696914,0.0031231825971358386,0.001096617887228102,2.848013545566215
21,1.1736326421249995e-09,0.0013087133096654283,0.001926412688817195,0.0011925943984547824,1.6153125415591458
22,1.4152842302499993e-09,0.0013929911216703182,0.0019261423574734107,0.0011763167307935862,1.637435145697507
23,2.767734326859374e-09,0.001741975032125387,0.0027375330813946886,0.0016397081027328785,1.6695246408992432
24,1.2280377914687495e-09,0.0013286309650201173,0.0018572762891304394,0.001214747068922322,1.5289407454822221
25,8.978464627656246e-10,0.0011969274246896892,0.0016642265154228203,0.0013603372282635982,1.2233926123944439
26,2.2378723483281242e-09,0.001622851928435114,0.0026046488840626336,0.0012164937658930787,2.141111575816792
27,1.8051505316406242e-09,0.0015106769418655325,0.002472117575806386,0.0011624151316707682,2.1267080137309895
28,1.3104741274999995e-09,0.0013577191480623773,0.0017814296781901273,0.0013119019239323567,1.357898517939806
29,1.4465677501562495e-09,0.0014031799985133664,0.0022440993013934283,0.0013106059837912853,1.7122608389912573
30,1.0434287489531246e-09,0.001258407772517342,0.001638798351076893,0.0011723722400646265,1.3978481365155446
31,1.6348353569687492e-09,0.0014615885534322028,0.0023515366916906626,0.001165771709276784,2.017150247323722
32,1.3604865150937494e-09,0.0013747757821314642,0.0018378450708918274,0.0012004757633571938,1.5309305918448506
33,2.939848347406249e-09,0.001777360135685881,0.0028488363905457732,0.0016886261843296032,1.6870734428868175
34,1.3416756558124994e-09,0.0013684102097522096,0.0018981917321792923,0.0012127735435899047,1.565165848325233
35,2.154874494109374e-09,0.001602535969268237,0.0023035039166213914,0.0012288262019977895,1.874556314698061
36,2.4923009598124987e-09,0.0016821599449192578,0.0029203273839113076,0.0012529321985510877,2.3307944254991804
37,2.3876834130781238e-09,0.0016582857676010836,0.0021761086405395554,0.001302251290211023,1.6710358875412814
38,1.2594977175312495e-09,0.0013398810785338745,0.0026255065963208144,0.0012551065623798794,2.0918595082017903
39,1.1880917354531245e-09,0.0013140658153291682,0.0018698298232904924,0.0009818480766289755,1.9043983155828605
40,1.4227889456718743e-09,0.0013954489503061015,0.0023187890425010963,0.0012054678322534688,1.9235594517411676
41,1.9753986222812492e-09,0.0015567494038277406,0.0020524443930808912,0.0011701213366939007,1.754044071087478
42,5.105761891546873e-09,0.002136423329323834,0.004537150201485979,0.0016079140154603004,2.821761709805808
43,1.0988749430781246e-09,0.0012803141620560622,0.0016903428523408334,0.0012247089545146062,1.3801996352764268
44,1.3020973196718743e-09,0.0013548200262502024,0.002020926488847997,0.0012816458445428008,1.5768213172562646
45,2.9003321261093736e-09,0.001769360673668071,0.0037724356604847513,0.0014907017873553618,2.530644084875882
46,1.4568142147812493e-09,0.0014064852522013692,0.0019452145945468135,0.0013087136778830461,1.4863561277156978
47,1.3519631162343744e-09,0.0013718987921274642,0.0017161366871388394,0.0014178076967463447,1.210415693945741
48,1.4271009581249994e-09,0.0013968572464938137,0.0021842161226267236,0.0012561968324255614,1.7387530888843838
49,1.7501192646718743e-09,0.001495166901002006,0.0024751680331374245,0.0012753258567578286,1.9408122402770618
50,2.6030455147343737e-09,0.0017067151614810361,0.0030373791031770526,0.0014990233681662435,2.026238661571154
51,3.3208061379062487e-09,0.0018510364333948085,0.003354566688687492,0.00101944771589858,3.2905725682367626
52,1.1880283783124995e-09,0.0013140424566018558,0.0020726716191381772,0.0011636212949249875,1.7812252389827494
53,1.4630729064374993e-09,0.001408496531662497,0.0018623921474668183,0.0010743684158220155,1.733476263858589
54,2.126345146374999e-09,0.0015954322965743048,0.0022641607639676898,0.0014177181799606886,1.5970457288136573
55,2.173484101296874e-09,0.0016071359470970067,0.0023297180597717762,0.0015283252755364976,1.5243600934061374
56,1.7682617682343742e-09,0.0015003156688439786,0.0019390320123167464,0.0014091157581346972,1.3760629679448908
57,3.6513428251406236e-09,0.0019105188611221152,0.0034383094792216603,0.0014073282219632887,2.443146826420533
58,9.980277673593745e-10,0.0012398847946685839,0.0018319309388120143,0.0011249486359692748,1.6284574070651603
59,1.3380879024374995e-09,0.0013671893729588665,0.002286177680851757,0.0009861855392501106,2.3182023968736676
60,1.2503593817187495e-09,0.00133663268938607,0.0019595852370621796,0.0010391581088990249,1.885743103268795
61,1.3147774438749994e-09,0.0013592036772556457,0.0021945191884147224,0.0011787988449271168,1.8616570569768467
62,2.449451655999999e-09,0.0016724638910852148,0.001972177626800893,0.001503259689577524,1.311934085956335
63,1.6493006617812492e-09,0.001465886697095443,0.0021658481287474903,0.0013516342142422413,1.6023922048774986
64,9.601464087499996e-10,0.0012239949139128603,0.0017462362096738145,0.0008889308121658103,1.9644230864483667
65,1.868602086828124e-09,0.0015281737512752626,0.00259602236713536,0.0008624132188290366,3.0101838775850105
66,1.8323767099531242e-09,0.0015182340021874458,0.002801602300724097,0.0011512467629260894,2.433537614128311
67,3.4963364748593736e-09,0.0018830919762418646,0.0034449749560094066,0.0016289427728806874,2.114853273769204
68,1.4821496172499994e-09,0.0014145918163771657,0.0025822606858903994,0.0010678458240624895,2.4181961737383615
69,9.445853980937496e-10,0.0012173464729956607,0.001499084295995159,0.001346775751834405,1.1130912432550846
70,1.5029804512499994e-09,0.0014211881245420562,0.0020414194096567166,0.0011116396198430935,1.8364039687114249
71,8.693345071874996e-10,0.0011841210424341927,0.0022913359125212108,0.0008470225374703438,2.7051652242505244
